N,DijMatrix,DijList,BFMatrix,BFList
10,0.00028586387634277344,0.00016736984252929688,0.0015544891357421875,0.0005774497985839844
20,0.0019245147705078125,0.0007526874542236328,0.015455007553100586,0.002288818359375
30,0.002953767776489258,0.0010528564453125,0.037358760833740234,0.008435964584350586
40,0.005232095718383789,0.0012247562408447266,0.10662698745727539,0.017638206481933594
50,0.009723663330078125,0.0017025470733642578,0.24130725860595703,0.03000164031982422
